BATSMEN,,R,B,M,4s,6s,SR
Devon Smith,b Khan,81,97,117,7,1,83.51
Kirk Edwards,lbw b Ashwin,17,17,26,1,1,100.00
Darren Bravo,c Harbhajan Singh b Raina,22,29,35,1,1,75.86
Ramnaresh Sarwan,c Ashwin b Khan,39,68,111,3,0,57.35
Kieron Pollard,c Pathan b Harbhajan Singh,1,3,6,0,0,33.33
Devon Thomas,st Dhoni b Yuvraj Singh,2,8,12,0,0,25.00
Daren Sammy,run out (Raina/Patel),2,4,7,0,0,50.00
Andre Russell,c Pathan b Yuvraj Singh,0,5,5,0,0,0.00
Sulieman Benn,c Patel b Khan,3,12,15,0,0,25.00
Devendra Bishoo,not out,6,11,13,1,0,54.55
Ravi Rampaul,b Ashwin,1,4,7,0,0,25.00
