BATSMEN,,R,B,M,4s,6s,SR
Desmond Haynes,b Anurasiri,24,36,-,3,0,66.67
Phil Simmons,c Madugalle b Ratnayeke,89,126,-,11,0,70.63
Sir Richie Richardson,c Mahanama b Jeganathan,4,12,-,0,0,33.33
Sir Viv Richards,c Ratnayake b de Silva,14,25,-,0,0,56.00
Gus Logie,not out,65,66,-,7,0,98.48
Carl Hooper,st Kuruppu b de Silva,6,8,-,1,0,75.00
Jeff Dujon,c Kuruppu b Ratnayeke,6,14,-,0,0,42.86
Roger Harper,b Ratnayeke,3,6,-,0,0,50.00
Winston Benjamin,b Ratnayake,0,3,-,0,0,0.00
Courtney Walsh,not out,9,8,-,1,0,112.50
