BATSMEN,,R,B,M,4s,6s,SR
Craig Wishart,b Jayasuriya,43,71,84,4,0,60.56
Dougie Marillier,c Jayasuriya b Gunaratne,19,14,24,2,0,135.71
Travis Friend,b Gunaratne,21,20,23,4,0,105.00
Andy Flower,lbw b de Silva,38,51,63,1,0,74.51
Grant Flower,c & b Jayasuriya,31,52,85,4,0,59.62
Tatenda Taibu,b Muralitharan,2,10,16,0,0,20.00
Andy Blignaut,c de Silva b Fernando,1,5,6,0,0,20.00
Sean Ervine,b Vaas,12,19,26,1,0,63.16
Heath Streak,c Atapattu b Jayasuriya,2,7,7,0,0,28.57
Stuart Matsikenyeri,not out,1,3,7,0,0,33.33
Douglas Hondo,b Vaas,0,2,3,0,0,0.00
