BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Dion Nash,9,1,44,1,4.89,-,-,-,1,0
Dipak Patel,8,0,45,1,5.63,-,-,-,0,0
Chris Cairns,6.5,0,51,0,7.46,-,-,-,0,1
Chris Harris,10,0,41,0,4.10,-,-,-,1,2
Shane Thomson,8,0,57,1,7.13,-,-,-,1,0
Nathan Astle,3,0,21,1,7.00,-,-,-,0,0
Roger Twose,3,0,23,0,7.67,-,-,-,0,0
