BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Lasith Malinga,9.4,1,41,3,4.24,44,6,0,5,1
Suranga Lakmal,10,1,36,2,3.60,40,2,1,2,0
Angelo Mathews,7,0,41,3,5.86,23,3,1,2,0
Thisara Perera,10,0,54,1,5.40,33,5,2,1,0
Rangana Herath,10,0,41,1,4.10,36,3,1,1,0
Jeevan Mendis,3,0,13,0,4.33,9,1,0,0,0
