BATSMEN,,R,B,M,4s,6s,SR
Gulbadin Naib,c Liton Das b Shakib Al Hasan,47,75,107,3,0,62.67
Rahmat Shah,c Tamim Iqbal b Shakib Al Hasan,24,35,45,3,0,68.57
Hashmatullah Shahidi,st Mushfiqur Rahim b Mosaddek Hossain,11,31,36,0,0,35.48
Asghar Afghan,c sub (Sabbir Rahman) b Shakib Al Hasan,20,38,44,1,0,52.63
Mohammad Nabi,b Shakib Al Hasan,0,2,3,0,0,0.00
Samiullah Shinwari,not out,49,51,90,3,1,96.08
Ikram Alikhil,run out (Liton Das),11,12,20,1,0,91.67
Najibullah Zadran,st Mushfiqur Rahim b Shakib Al Hasan,23,23,34,2,0,100.00
Rashid Khan,c Mashrafe Mortaza b Mustafizur Rahman,2,3,7,0,0,66.67
Dawlat Zadran,c Mushfiqur Rahim b Mustafizur Rahman,0,8,11,0,0,0.00
Mujeeb Ur Rahman,b Mohammad Saifuddin,0,4,7,0,0,0.00
