BATSMEN,,R,B,M,4s,6s,SR
Jeremy Bray,lbw b Pollock,0,9,10,0,0,0.00
William Porterfield,c Kallis b Pollock,14,33,44,1,0,42.42
Eoin Morgan,c Prince b Hall,28,50,64,4,0,56.00
Niall O'Brien,c Gibbs b Langeveldt,25,37,44,3,0,67.57
Andrew White,c Gibbs b Smith,30,30,30,5,0,100.00
Andre Botha,c de Villiers b Hall,14,20,31,0,0,70.00
Trent Johnston,not out,13,14,37,0,1,92.86
Kyle McCallan,c Boucher b Langeveldt,3,6,5,0,0,50.00
Paul Mooney,c Boucher b Langeveldt,0,1,1,0,0,0.00
Dave Langford-Smith,not out,17,10,14,1,1,170.00
