BATSMEN,,R,B,M,4s,6s,SR
Andrew Hudson,c Walsh b JC Adams,54,80,110,8,0,67.50
Gary Kirsten,hit wicket b Ambrose,3,14,24,0,0,21.43
Daryll Cullinan,c Bishop b JC Adams,69,78,104,3,3,88.46
Hansie Cronje,c Arthurton b JC Adams,40,47,55,2,2,85.11
Jonty Rhodes,c JC Adams b Harper,13,24,45,0,0,54.17
Brian McMillan,lbw b Harper,6,7,11,0,0,85.71
Shaun Pollock,c JC Adams b Harper,6,7,20,0,0,85.71
Steve Palframan,c & b Harper,1,2,3,0,0,50.00
Pat Symcox,c Harper b Arthurton,24,20,20,1,2,120.00
Craig Matthews,not out,8,12,23,0,0,66.67
Paul Adams,b Walsh,10,14,17,0,0,71.43
