BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Mohammad Hafeez,7,0,22,0,3.14,25,1,0,0,0
Mohammad Amir,10,0,67,1,6.70,31,9,1,2,0
Shaheen Shah Afridi,10,3,28,3,2.80,43,2,0,0,0
Imad Wasim,3,0,17,0,5.67,7,1,0,0,0
Shadab Khan,10,0,43,1,4.30,32,1,2,0,0
Wahab Riaz,10,0,55,0,5.50,30,4,1,2,0
