BATSMEN,,R,B,M,4s,6s,SR
Amjad Ali,c Dhoni b Kumar,4,12,20,0,0,33.33
Andri Berenger,c Dhoni b Yadav,4,9,7,1,0,44.44
Krishna Chandran,c Raina b Ashwin,4,27,36,0,0,14.81
Khurram Khan,c Raina b Ashwin,14,28,51,1,0,50.00
Swapnil Patil,c Dhawan b Ashwin,7,19,17,1,0,36.84
Shaiman Anwar,b Yadav,35,49,63,6,0,71.43
Rohan Mustafa,lbw b Sharma,2,12,13,0,0,16.67
Amjad Javed,c Raina b Jadeja,2,5,7,0,0,40.00
Mohammad Naveed,b Ashwin,6,7,4,0,1,85.71
Mohammad Tauqir,b Jadeja,1,5,4,0,0,20.00
Manjula Guruge,not out,10,16,23,1,0,62.50
