BATSMEN,,R,B,M,4s,6s,SR
Steven Outerbridge,c Mohammad Rafique b Mashrafe Mortaza,0,4,-,0,0,0.00
Oliver Pitcher,c Habibul Bashar b Shakib Al Hasan,22,47,-,1,0,46.81
Delyone Borden,c Habibul Bashar b Mashrafe Mortaza,2,11,-,0,0,18.18
David Hemp,c Aftab Ahmed b Syed Rasel,0,4,-,0,0,0.00
Irving Romaine,lbw b Abdur Razzak,11,21,-,2,0,52.38
Dean Minors,c Tamim Iqbal b Abdur Razzak,23,25,-,0,1,92.00
Lionel Cann,b Shakib Al Hasan,16,6,-,2,1,266.67
Janeiro Tucker,c Tamim Iqbal b Mohammad Rafique,9,6,-,1,0,150.00
Kevin Hurdle,b Abdur Razzak,0,4,-,0,0,0.00
Saleem Mukuddem,not out,0,0,-,0,0,0.00
