BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Glenn McGrath,8,2,12,1,1.50,-,-,-,0,0
Damien Fleming,9,1,30,2,3.33,-,-,-,0,1
Shane Lee,4,2,8,0,2.00,-,-,-,0,1
Steve Waugh,7,2,22,2,3.14,-,-,-,0,0
Shane Warne,9.3,1,34,4,3.58,-,-,-,3,0
Mark Waugh,5,0,30,0,6.00,-,-,-,0,0
Stuart Law,3,0,10,0,3.33,-,-,-,0,0
