BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Chris Woakes,5,2,16,1,3.20,23,1,1,1,0
Jofra Archer,9,1,30,3,3.33,38,4,0,1,0
Liam Plunkett,5,0,30,1,6.00,13,3,0,3,0
Mark Wood,6.4,0,18,3,2.70,31,1,1,1,0
Ben Stokes,4,0,25,0,6.25,10,3,0,0,0
Adil Rashid,10,0,61,0,6.10,27,2,3,1,0
Joe Root,5,0,27,2,5.40,14,0,1,1,0
