BATSMEN,,R,B,M,4s,6s,SR
Alexei Kervezee,st Thomas b Benn,14,20,20,2,0,70.00
Wesley Barresi,c Gayle b Roach,0,5,4,0,0,0.00
Tom Cooper,not out,55,72,114,9,0,76.39
Ryan ten Doeschate,lbw b Benn,7,6,7,1,0,116.67
Bas Zuiderent,b Roach,1,4,5,0,0,25.00
Tom de Grooth,lbw b Benn,1,5,6,0,0,20.00
Peter Borren,c Pollard b Sammy,10,28,25,1,0,35.71
Mudassar Bukhari,b Roach,24,42,35,2,0,57.14
Pieter Seelaar,lbw b Roach,1,5,8,0,0,20.00
Bernard Loots,lbw b Roach,0,1,1,0,0,0.00
Berend Westdijk,b Roach,0,1,1,0,0,0.00
