BATSMEN,,R,B,M,4s,6s,SR
Devon Smith,c Barresi b Loots,53,51,67,9,0,103.92
Chris Gayle,c Kervezee b ten Doeschate,80,110,136,7,2,72.73
Darren Bravo,c Kervezee b Seelaar,30,38,42,1,2,78.95
Ramnaresh Sarwan,lbw b Westdijk,49,42,55,7,1,116.67
Kieron Pollard,c ten Doeschate b Mudassar Bukhari,60,27,59,5,4,222.22
Daren Sammy,c Kervezee b Seelaar,6,6,6,1,0,100.00
Shivnarine Chanderpaul,b Seelaar,4,6,9,0,0,66.67
Devon Thomas,lbw b Mudassar Bukhari,13,13,24,1,0,100.00
Nikita Miller,not out,11,7,13,2,0,157.14
Sulieman Benn,not out,3,1,1,0,0,300.00
