BATSMEN,,R,B,M,4s,6s,SR
Martin Guptill,c Tamim Iqbal b Shakib Al Hasan,25,14,22,3,1,178.57
Colin Munro,c Mehidy Hasan Miraz b Shakib Al Hasan,24,34,41,3,1,70.59
Kane Williamson,c Mosaddek Hossain b Mehidy Hasan Miraz,40,72,108,1,0,55.56
Ross Taylor,c Mushfiqur Rahim b Mosaddek Hossain,82,91,122,9,0,90.11
Tom Latham,c Mohammad Saifuddin b Mehidy Hasan Miraz,0,4,5,0,0,0.00
James Neesham,c Soumya Sarkar b Mosaddek Hossain,25,33,54,2,1,75.76
Colin de Grandhomme,c Mushfiqur Rahim b Mohammad Saifuddin,15,13,23,2,0,115.38
Mitchell Santner,not out,17,12,26,2,0,141.67
Matt Henry,b Mohammad Saifuddin,6,8,16,1,0,75.00
Lockie Ferguson,not out,4,3,5,1,0,133.33
