BATSMEN,,R,B,M,4s,6s,SR
Tamim Iqbal,c Boult b Ferguson,24,38,58,3,0,63.16
Soumya Sarkar,b Henry,25,25,35,3,0,100.00
Shakib Al Hasan,c Latham b de Grandhomme,64,68,98,7,0,94.12
Mushfiqur Rahim,run out (Guptill/Latham),19,35,48,2,0,54.29
Mohammad Mithun,c de Grandhomme b Henry,26,33,59,3,0,78.79
Mahmudullah,c Williamson b Santner,20,41,52,0,0,48.78
Mosaddek Hossain,c Guptill b Boult,11,22,40,0,0,50.00
Mohammad Saifuddin,b Henry,29,23,34,3,1,126.09
Mehidy Hasan,c Latham b Boult,7,9,9,0,0,77.78
Mashrafe Mortaza,c Boult b Henry,1,2,6,0,0,50.00
Mustafizur Rahman,not out,0,0,1,0,0,0.00
