BATSMEN,,R,B,M,4s,6s,SR
Desmond Haynes,c Athey b DeFreitas,9,14,-,2,0,64.29
Phil Simmons,b Emburey,25,28,-,5,0,89.29
Sir Richie Richardson,c Downton b Small,93,130,-,8,1,71.54
Sir Viv Richards,b Hemmings,51,51,-,4,3,100.00
Gus Logie,c Hemmings b Emburey,22,21,-,3,0,104.76
Carl Hooper,c Downton b DeFreitas,8,11,-,1,0,72.73
Jeff Dujon,c Downton b Foster,1,4,-,0,0,25.00
Roger Harper,run out,3,4,-,0,0,75.00
Winston Benjamin,c Foster b DeFreitas,8,16,-,0,0,50.00
Courtney Walsh,b Hemmings,2,3,-,0,0,66.67
Patrick Patterson,not out,4,8,-,0,0,50.00
