BATSMEN,,R,B,M,4s,6s,SR
Hannan Sarkar,b Vaas,0,1,1,0,0,0.00
Al Sahariar,c de Silva b Vaas,10,13,28,1,0,76.92
Mohammad Ashraful,c & b Vaas,0,1,1,0,0,0.00
Ehsanul Haque,c Jayawardene b Vaas,0,1,1,0,0,0.00
Sanwar Hossain,lbw b Vaas,4,2,1,1,0,200.00
Alok Kapali,c Jayasuriya b Fernando,32,38,64,2,1,84.21
Khaled Mashud,lbw b Muralitharan,20,67,88,2,0,29.85
Mohammad Rafique,c Sangakkara b Muralitharan,6,16,27,0,0,37.50
Tapash Baisya,c Arnold b Muralitharan,5,19,24,0,0,26.32
Mashrafe Mortaza,c Muralitharan b Vaas,28,23,27,4,1,121.74
Manjurul Islam,not out,3,9,20,0,0,33.33
