BATSMEN,,R,B,M,4s,6s,SR
William Porterfield,c Sibanda b Mpofu,0,6,4,0,0,0.00
Jeremy Bray,not out,115,137,221,10,2,83.94
Eoin Morgan,c Chigumbura b Brent,21,27,37,4,0,77.78
Niall O'Brien,c Taylor b Chigumbura,1,5,3,0,0,20.00
Andre Botha,b Chigumbura,1,7,15,0,0,14.29
Kevin O'Brien,c Taylor b Rainsford,10,28,33,2,0,35.71
Andrew White,lbw b Brent,28,48,49,3,0,58.33
Trent Johnston,run out (Williams/Mpofu),20,24,49,2,0,83.33
Kyle McCallan,st Taylor b Williams,0,3,2,0,0,0.00
Dave Langford-Smith,c Taylor b Mpofu,15,17,21,1,0,88.24
