BATSMEN,,R,B,M,4s,6s,SR
Ajay Jadeja,lbw b Fleming,1,17,16,0,0,5.88
Sachin Tendulkar,st Healy b ME Waugh,90,84,124,14,1,107.14
Vinod Kambli,b Fleming,0,2,6,0,0,0.00
Mohammad Azharuddin,b Fleming,10,17,40,1,0,58.82
Sanjay Manjrekar,c Healy b SR Waugh,62,91,103,7,0,68.13
Manoj Prabhakar,run out (Ponting),3,6,4,0,0,50.00
Nayan Mongia,c Taylor b Warne,27,32,35,3,0,84.38
Anil Kumble,b Fleming,17,22,32,3,0,77.27
Javagal Srinath,c Lee b Fleming,7,12,16,1,0,58.33
Venkatesh Prasad,c Bevan b SR Waugh,0,2,5,0,0,0.00
Venkatapathy Raju,not out,3,4,6,0,0,75.00
