BATSMEN,,R,B,M,4s,6s,SR
Mark Waugh,run out (Prasad),126,135,195,8,3,93.33
Mark Taylor,c Srinath b Raju,59,73,95,8,1,80.82
Ricky Ponting,c Manjrekar b Raju,12,21,31,0,0,57.14
Steve Waugh,run out (Raju),7,15,21,0,0,46.67
Stuart Law,c & b Kumble,21,31,49,1,0,67.74
Michael Bevan,run out (Jadeja),6,5,8,0,0,120.00
Shane Lee,run out (Mongia),9,10,14,0,0,90.00
Ian Healy,c Kumble b Prasad,6,10,13,0,0,60.00
Shane Warne,c Azharuddin b Prasad,0,1,1,0,0,0.00
Damien Fleming,run out (Mongia/Prasad),0,1,3,0,0,0.00
Glenn McGrath,not out,0,0,1,0,0,0.00
