BATSMEN,,R,B,M,4s,6s,SR
Sanath Jayasuriya,c Hick b Mullally,29,52,73,4,0,55.77
Roshan Mahanama,c Hick b Mullally,16,30,47,2,0,53.33
Marvan Atapattu,c Thorpe b Austin,3,9,9,0,0,33.33
Hashan Tillakaratne,c Stewart b Ealham,0,12,26,0,0,0.00
Aravinda de Silva,c Thorpe b Mullally,0,6,13,0,0,0.00
Arjuna Ranatunga,c Hussain b Ealham,32,42,71,1,1,76.19
Romesh Kaluwitharana,c Stewart b Mullally,57,66,73,7,0,86.36
Chaminda Vaas,not out,12,27,59,0,0,44.44
Eric Upashantha,c Thorpe b Hollioake,11,25,25,1,0,44.00
Pramodya Wickramasinghe,c Stewart b Austin,11,18,15,1,0,61.11
Muttiah Muralitharan,b Gough,12,8,6,2,0,150.00
