BATSMEN,,R,B,M,4s,6s,SR
Sunil Gavaskar,c Lees b Hadlee,55,144,170,5,0,38.19
Anshuman Gaekwad,b Hadlee,10,31,35,1,0,32.26
Dilip Vengsarkar,c Lees b McKechnie,1,2,16,0,0,50.00
Gundappa Viswanath,c Turner b Cairns,9,17,24,0,0,52.94
Brijesh Patel,b Troup,38,60,44,5,0,63.33
Mohinder Amarnath,b Troup,1,5,9,0,0,20.00
Kapil Dev,c & b Cairns,25,24,30,3,0,104.17
Karsan Ghavri,c Coney b McKechnie,20,22,32,2,0,90.91
Surinder Khanna,c Morrison b McKechnie,7,16,23,0,0,43.75
Srinivas Venkataraghavan,c Lees b Cairns,1,2,7,0,0,50.00
Bishan Bedi,not out,1,12,5,0,0,8.33
