BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Sir Richard Hadlee,12,4,32,1,2.67,-,-,-,0,0
Gary Troup,12,1,38,1,3.17,-,-,-,0,0
Lance Cairns,12,2,47,1,3.92,-,-,-,0,0
Jeremy Coney,12,0,47,1,3.92,-,-,-,0,0
Brian McKechnie,12,1,46,2,3.83,-,-,-,0,0
