BATSMEN,,R,B,M,4s,6s,SR
Sourav Ganguly,c Gilchrist b Lee,9,21,27,1,0,42.86
Sachin Tendulkar,lbw b Gillespie,36,59,127,3,0,61.02
Virender Sehwag,c Gilchrist b Lee,4,4,10,1,0,100.00
Rahul Dravid,b Gillespie,1,23,27,0,0,4.35
Yuvraj Singh,lbw b McGrath,0,8,8,0,0,0.00
Mohammad Kaif,c Symonds b Gillespie,1,16,15,0,0,6.25
Dinesh Mongia,c Symonds b Lee,13,39,45,1,0,33.33
Anil Kumble,not out,16,38,56,1,0,42.11
Harbhajan Singh,lbw b Hogg,28,32,36,4,1,87.50
Zaheer Khan,lbw b Lehmann,1,9,9,0,0,11.11
Javagal Srinath,run out (Lehmann),0,2,3,0,0,0.00
