BATSMEN,,R,B,M,4s,6s,SR
Hannan Sarkar,c Bagai b Codrington,25,35,53,4,0,71.43
Al Sahariar,c sub (AM Samad) b Joseph,9,18,28,2,0,50.00
Habibul Bashar,c Bagai b Thuraisingam,0,8,17,0,0,0.00
Ehsanul Haque,c Bagai b Joseph,13,17,33,2,0,76.47
Sanwar Hossain,lbw b Davison,25,24,51,2,0,104.17
Alok Kapali,lbw b Codrington,19,25,30,2,0,76.00
Khaled Mashud,c sub (AM Samad) b Davison,1,8,8,0,0,12.50
Mohammad Rafique,c Davison b Codrington,12,19,28,2,0,63.16
Tapash Baisya,c Sattaur b Codrington,0,8,12,0,0,0.00
Mashrafe Mortaza,c Sattaur b Codrington,0,2,1,0,0,0.00
Manjurul Islam,not out,0,4,9,0,0,0.00
