BATSMEN,,R,B,M,4s,6s,SR
Ishwar Maraj,c Sanwar Hossain b Tapash Baisya,24,43,55,3,0,55.81
John Davison,b Mashrafe Mortaza,8,14,24,2,0,57.14
Desmond Chumney,run out (Al Sahariar),28,25,46,3,1,112.00
Ian Billcliff,run out (Hannan Sarkar),42,63,90,6,0,66.67
Joe Harris,c Khaled Mashud b Sanwar Hossain,4,23,24,0,0,17.39
Nicholas de Groot,c Alok Kapali b Sanwar Hossain,0,4,7,0,0,0.00
Fazil Sattaur,lbw b Alok Kapali,13,40,33,0,1,32.50
Ashish Bagai,b Mashrafe Mortaza,7,23,25,0,0,30.43
Sanjayan Thuraisingam,lbw b Mohammad Rafique,6,14,31,1,0,42.86
Austin Codrington,c Tapash Baisya b Manjural Islam,16,31,37,1,0,51.61
Davis Joseph,not out,9,17,22,1,0,52.94
