BATSMEN,,R,B,M,4s,6s,SR
Shahriar Hossain,lbw b Saqlain Mushtaq,39,60,102,5,0,65.00
Mehrab Hossain,st Moin Khan b Saqlain Mushtaq,9,42,79,0,0,21.43
Akram Khan,c Wasim Akram b Waqar Younis,42,66,88,6,0,63.64
Aminul Islam,b Shahid Afridi,15,26,44,2,0,57.69
Naimur Rahman,b Waqar Younis,13,20,20,2,0,65.00
Minhajul Abedin,c & b Saqlain Mushtaq,14,14,27,2,0,100.00
Khaled Mahmud,st Moin Khan b Saqlain Mushtaq,27,34,36,3,0,79.41
Khaled Mashud,not out,15,21,29,1,0,71.43
Mohammad Rafique,c Shoaib Akhtar b Saqlain Mushtaq,6,19,13,0,0,31.58
Neeyamur Rashid,lbw b Wasim Akram,1,2,1,0,0,50.00
Shafiuddin Ahmed,not out,2,3,1,0,0,66.67
