BATSMEN,,R,B,M,4s,6s,SR
Saeed Anwar,run out (Khaled Mashud),9,20,33,0,0,45.00
Shahid Afridi,c Mehrab Hossain b Khaled Mahmud,2,4,5,0,0,50.00
Ijaz Ahmed,b Shafiuddin Ahmed,0,5,3,0,0,0.00
Inzamam-ul-Haq,lbw b Khaled Mahmud,7,16,27,1,0,43.75
Saleem Malik,lbw b Khaled Mahmud,5,17,22,0,0,29.41
Azhar Mahmood,run out (Khaled Mashud),29,61,79,3,0,47.54
Wasim Akram,c Shahriar Hossain b Minhajul Abedin,29,52,66,2,1,55.77
Moin Khan,c Mehrab Hossain b Naimur Rahman,18,17,28,2,0,105.88
Saqlain Mushtaq,run out (Khaled Mashud),21,51,60,2,0,41.18
Waqar Younis,b Mohammad Rafique,11,20,26,0,0,55.00
Shoaib Akhtar,not out,1,5,7,0,0,20.00
