BATSMEN,,R,B,M,4s,6s,SR
Chris Gayle,c Kamran Akmal b Umar Gul,2,6,10,0,0,33.33
Shivnarine Chanderpaul,c Kamran Akmal b Iftikhar Anjum,19,63,90,1,0,30.16
Ramnaresh Sarwan,c Younis Khan b Iftikhar Anjum,49,65,96,9,0,75.38
Marlon Samuels,c Shoaib Malik b Mohammad Hafeez,63,70,83,5,3,90.00
Brian Lara,c Kamran Akmal b Mohammad Hafeez,37,56,56,3,1,66.07
Dwayne Bravo,c Naved-ul-Hasan b Iftikhar Anjum,16,17,38,2,0,94.12
Denesh Ramdin,st Kamran Akmal b Danish Kaneria,1,4,1,0,0,25.00
Dwayne Smith,c Inzamam-ul-Haq b Umar Gul,32,15,16,3,2,213.33
Jerome Taylor,run out (Iftikhar Anjum),2,4,5,0,0,50.00
Daren Powell,not out,1,1,5,0,0,100.00
Corey Collymore,not out,8,2,2,0,1,400.00
