BATSMEN,,R,B,M,4s,6s,SR
Imran Nazir,c Ramdin b Powell,6,3,1,0,1,200.00
Mohammad Hafeez,c Lara b Powell,11,28,45,2,0,39.29
Younis Khan,c Ramdin b Taylor,9,13,14,2,0,69.23
Mohammad Yousuf,c Ramdin b Smith,37,72,103,1,0,51.39
Inzamam-ul-Haq,lbw b Smith,36,65,89,4,0,55.38
Shoaib Malik,c Chanderpaul b Collymore,62,54,84,6,1,114.81
Kamran Akmal,c Bravo b Smith,0,1,3,0,0,0.00
Naved-ul-Hasan,b Bravo,11,29,28,0,0,37.93
Iftikhar Anjum,c Lara b Bravo,11,18,29,0,0,61.11
Umar Gul,c & b Bravo,0,1,1,0,0,0.00
Danish Kaneria,not out,0,0,1,0,0,0.00
