BATSMEN,,R,B,M,4s,6s,SR
David Warner,c Bairstow b Woakes,9,11,14,2,0,81.82
Aaron Finch,lbw b Archer,0,1,6,0,0,0.00
Steven Smith,run out (Buttler),85,119,201,6,0,71.43
Peter Handscomb,b Woakes,4,12,15,0,0,33.33
Alex Carey,c sub (JM Vince) b Rashid,46,70,94,4,0,65.71
Marcus Stoinis,lbw b Rashid,0,2,4,0,0,0.00
Glenn Maxwell,c Morgan b Archer,22,23,29,2,1,95.65
Pat Cummins,c Root b Rashid,6,10,11,0,0,60.00
Mitchell Starc,c Buttler b Woakes,29,36,45,1,1,80.56
Jason Behrendorff,b Wood,1,4,10,0,0,25.00
Nathan Lyon,not out,5,6,8,0,0,83.33
