BATSMEN,,R,B,M,4s,6s,SR
Sourav Ganguly,b Fleming,8,12,18,0,0,66.67
Sachin Tendulkar,c Gilchrist b McGrath,0,4,5,0,0,0.00
Rahul Dravid,c Gilchrist b McGrath,2,6,8,0,0,33.33
Ajay Jadeja,not out,100,138,188,7,2,72.46
Mohammad Azharuddin,c SR Waugh b McGrath,3,9,11,0,0,33.33
Robin Singh,c Reiffel b Moody,75,94,124,5,3,79.79
Nayan Mongia,run out (Bevan),2,9,21,0,0,22.22
Javagal Srinath,c Gilchrist b SR Waugh,0,2,2,0,0,0.00
Anil Kumble,c Gilchrist b SR Waugh,3,6,5,0,0,50.00
Venkatesh Prasad,lbw b Fleming,2,9,13,0,0,22.22
Debasis Mohanty,run out (Warne/Gilchrist),0,3,3,0,0,0.00
