BATSMEN,,R,B,M,4s,6s,SR
Imran Nazir,c Morgan b Botha,24,51,88,3,0,47.06
Mohammad Hafeez,c O'Brien b Langford-Smith,4,6,5,1,0,66.67
Younis Khan,c Botha b Rankin,0,3,13,0,0,0.00
Mohammad Yousuf,c Porterfield b Johnston,15,31,43,2,0,48.39
Inzamam-ul-Haq,c Morgan b Botha,1,3,2,0,0,33.33
Shoaib Malik,c O'Brien b O'Brien,9,25,32,2,0,36.00
Kamran Akmal,c Johnston b Rankin,27,47,56,4,0,57.45
Azhar Mahmood,c Johnston b Rankin,2,21,36,0,0,9.52
Mohammad Sami,c Bray b McCallan,12,34,51,1,0,35.29
Iftikhar Anjum,not out,8,43,55,0,0,18.60
Umar Gul,c sub (JF Mooney) b McCallan,1,13,8,0,0,7.69
