BATSMEN,,R,B,M,4s,6s,SR
Marcus Trescothick,c LJ Burger b AJ Burger,58,66,99,8,1,87.88
Nick Knight,c LJ Burger b van Vuuren,6,12,21,1,0,50.00
Michael Vaughan,c LJ Burger b van Vuuren,14,18,17,2,0,77.78
Alec Stewart,c BL Kotze b DB Kotze,60,77,84,6,1,77.92
Paul Collingwood,c Keulder b Snyman,38,49,55,3,0,77.55
Andrew Flintoff,c Keulder b Snyman,21,24,35,0,2,87.50
Ian Blackwell,c van Schoor b Snyman,16,19,27,1,0,84.21
Craig White,c SF Burger b van Vuuren,35,29,36,2,0,120.69
Ronnie Irani,c DB Kotze b van Vuuren,12,7,15,2,0,171.43
Andy Caddick,b van Vuuren,4,2,4,1,0,200.00
James Anderson,not out,0,0,1,0,0,0.00
