BATSMEN,,R,B,M,4s,6s,SR
Stefan Swanepoel,c Vaughan b Anderson,8,16,14,1,0,50.00
Jan-Berrie Burger,c Collingwood b White,85,86,119,10,1,98.84
Louis Burger,c & b Flintoff,5,25,34,1,0,20.00
Danie Keulder,run out (Trescothick/Stewart),46,66,102,6,0,69.70
Gavin Murgatroyd,b Irani,24,44,46,1,1,54.55
Gerrie Snyman,b White,0,1,1,0,0,0.00
Deon Kotze,b Flintoff,7,14,18,0,0,50.00
Sarel Burger,c Collingwood b Irani,5,14,17,0,0,35.71
Melt van Schoor,not out,11,23,34,1,0,47.83
Bjorn Kotze,lbw b Irani,0,1,1,0,0,0.00
Rudi van Vuuren,not out,12,12,19,0,1,100.00
