BATSMEN,,R,B,M,4s,6s,SR
William Porterfield,c sub (R Rampaul) b Sammy,11,34,52,2,0,32.35
Paul Stirling,c Sammy b Benn,5,6,7,1,0,83.33
Ed Joyce,b Russell,84,106,150,9,0,79.25
Niall O'Brien,b Benn,25,31,38,2,0,80.65
Gary Wilson,lbw b Sammy,61,62,90,6,1,98.39
Kevin O'Brien,c Pollard b Sammy,5,9,10,0,0,55.56
Alex Cusack,st Thomas b Benn,2,5,15,0,0,40.00
John Mooney,b Roach,6,7,18,1,0,85.71
Andre Botha,run out (Sammy),0,7,3,0,0,0.00
George Dockrell,b Benn,19,19,22,3,0,100.00
Boyd Rankin,not out,5,9,11,0,0,55.56
