BATSMEN,,R,B,M,4s,6s,SR
Devon Smith,b O'Brien,107,133,194,11,1,80.45
Shivnarine Chanderpaul,c Porterfield b O'Brien,35,62,102,3,0,56.45
Darren Bravo,b O'Brien,0,3,2,0,0,0.00
Ramnaresh Sarwan,c Mooney b Dockrell,10,19,29,1,0,52.63
Kieron Pollard,c Rankin b Mooney,94,55,83,8,5,170.91
Daren Sammy,c Dockrell b O'Brien,4,3,1,1,0,133.33
Devon Thomas,c O'Brien b Rankin,2,8,8,0,0,25.00
Andre Russell,b Mooney,3,7,15,0,0,42.86
Nikita Miller,not out,5,6,9,0,0,83.33
Sulieman Benn,run out (Botha/Mooney),2,2,4,0,0,100.00
Kemar Roach,c Stirling b Botha,1,2,1,0,0,50.00
