BATSMEN,,R,B,M,4s,6s,SR
Kris Srikkanth,b Foster,31,55,-,4,0,56.36
Sunil Gavaskar,b DeFreitas,4,7,-,1,0,57.14
Navjot Sidhu,c Athey b Foster,22,40,-,0,0,55.00
Mohammad Azharuddin,lbw b Hemmings,64,74,-,7,0,86.49
Chandrakant Pandit,lbw b Foster,24,30,-,3,0,80.00
Kapil Dev,c Gatting b Hemmings,30,22,-,3,0,136.36
Ravi Shastri,c Downton b Hemmings,21,32,-,2,0,65.63
Kiran More,c & b Emburey,0,5,-,0,0,0.00
Manoj Prabhakar,c Downton b Small,4,11,-,0,0,36.36
Chetan Sharma,c Lamb b Hemmings,0,1,-,0,0,0.00
Maninder Singh,not out,0,0,-,0,0,0.00
