BATSMEN,,R,B,M,4s,6s,SR
Sherwin Campbell,b Srinath,5,14,17,1,0,35.71
Sir Richie Richardson,c Kambli b Prabhakar,47,70,111,4,0,67.14
Brian Lara,c Mongia b Srinath,2,5,8,0,0,40.00
Shivnarine Chanderpaul,c Azharuddin b Kapoor,38,66,94,6,0,57.58
Roland Holder,b Kumble,0,3,7,0,0,0.00
Roger Harper,b Kumble,23,40,52,1,1,57.50
Courtney Browne,b Prabhakar,18,45,52,0,0,40.00
Ottis Gibson,b Kumble,6,5,5,1,0,120.00
Ian Bishop,run out,9,28,38,0,0,32.14
Sir Curtly Ambrose,c Kumble b Prabhakar,8,15,19,1,0,53.33
Courtney Walsh,not out,9,11,12,2,0,81.82
