BATSMEN,,R,B,M,4s,6s,SR
Sherwin Campbell,c ME Waugh b McGrath,2,14,19,0,0,14.29
Ridley Jacobs,not out,49,142,197,3,0,34.51
Jimmy Adams,lbw b McGrath,0,1,1,0,0,0.00
Brian Lara,b McGrath,9,15,14,1,0,60.00
Shivnarine Chanderpaul,b Warne,16,38,60,0,0,42.11
Stuart Williams,c ME Waugh b Moody,3,6,4,0,0,50.00
Phil Simmons,b Fleming,1,8,6,0,0,12.50
Sir Curtly Ambrose,lbw b Warne,1,7,4,0,0,14.29
Mervyn Dillon,lbw b McGrath,0,9,11,0,0,0.00
Reon King,lbw b Warne,1,30,38,0,0,3.33
Courtney Walsh,b McGrath,6,11,23,1,0,54.55
