BATSMEN,,R,B,M,4s,6s,SR
Eric Szwarczynski,run out (Shakib Al Hasan),28,63,87,0,1,44.44
Wesley Barresi,lbw b Shakib Al Hasan,10,29,30,1,0,34.48
Mudassar Bukhari,c Mushfiqur Rahim b Abdur Razzak,6,13,13,1,0,46.15
Tom Cooper,run out (Mushfiqur Rahim/Shakib Al Hasan),29,41,48,2,0,70.73
Ryan ten Doeschate,not out,53,71,103,2,1,74.65
Alexei Kervezee,st Mushfiqur Rahim b Sohrawordi Shuvo,18,24,29,2,0,75.00
Tom de Grooth,lbw b Abdur Razzak,4,15,16,0,0,26.67
Atse Buurman,c Imrul Kayes b Abdur Razzak,0,2,1,0,0,0.00
Peter Borren,run out (Mushfiqur Rahim/Sohrawordi Shuvo),3,9,11,0,0,33.33
Pieter Seelaar,lbw b Rubel Hossain,0,6,8,0,0,0.00
Adeel Raja,run out (Shafiul Islam/Shahriar Nafees),0,5,17,0,0,0.00
