BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Mitchell Starc,9,0,59,2,6.56,27,7,0,4,0
Jason Behrendorff,8,0,55,1,6.88,21,6,1,0,0
Nathan Lyon,10,0,53,2,5.30,32,4,2,0,0
Pat Cummins,9,0,66,1,7.33,28,6,2,3,0
Steven Smith,1,0,5,0,5.00,4,1,0,0,0
Marcus Stoinis,3,0,19,0,6.33,5,1,0,1,0
Glenn Maxwell,10,0,57,0,5.70,22,1,2,1,0
