BATSMEN,,R,B,M,4s,6s,SR
Vusi Sibanda,c Imran Nazir b Umar Gul,0,2,2,0,0,0.00
Chamu Chibhabha,c Inzamam-ul-Haq b Umar Gul,3,8,22,0,0,37.50
Friday Kasteni,c Inzamam-ul-Haq b Mohammad Sami,9,23,22,0,0,39.13
Brendan Taylor,c Younis Khan b Danish Kaneria,13,17,31,1,0,76.47
Stuart Matsikenyeri,run out (Kamran Akmal),18,25,31,3,0,72.00
Elton Chigumbura,b Shahid Afridi,27,11,11,0,4,245.45
Sean Williams,c Umar Gul b Danish Kaneria,11,9,15,0,1,122.22
Gary Brent,b Shahid Afridi,9,9,9,0,1,100.00
Prosper Utseya,not out,4,5,5,0,0,80.00
Tawanda Mupariwa,b Shahid Afridi,0,3,3,0,0,0.00
Chris Mpofu,c Inzamam-ul-Haq b Mohammad Yousuf,1,5,5,0,0,20.00
