BATSMEN,,R,B,M,4s,6s,SR
Kamran Akmal,c Taylor b Chigumbura,15,26,30,2,0,57.69
Imran Nazir,c Matsikenyeri b Mpofu,160,121,201,14,8,132.23
Shoaib Malik,c Chibhabha b Williams,21,32,51,2,1,65.63
Inzamam-ul-Haq,c Williams b Mupariwa,37,35,32,2,3,105.71
Mohammad Yousuf,c & b Brent,3,10,12,0,0,30.00
Younis Khan,run out (Mpofu/Taylor),28,31,41,1,1,90.32
Shahid Afridi,b Brent,16,10,14,1,1,160.00
Mohammad Sami,c Utseya b Brent,5,10,12,0,0,50.00
Iftikhar Anjum,c Matsikenyeri b Chigumbura,32,16,25,2,2,200.00
Umar Gul,b Chigumbura,10,6,9,2,0,166.67
Danish Kaneria,not out,6,4,9,1,0,150.00
