BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Martin Suji,8,1,27,2,3.38,38,3,1,1,0
Thomas Odoyo,4,0,9,0,2.25,20,0,0,4,0
Peter Ongondo,7,0,29,0,4.14,32,2,2,1,1
Collins Obuya,9,0,40,1,4.44,28,1,0,0,1
Tony Suji,4,0,23,0,5.75,12,2,0,1,1
Maurice Odumbe,10,0,38,4,3.80,33,3,0,1,0
Steve Tikolo,5.2,0,14,3,2.63,22,0,0,2,0
