BATSMEN,,R,B,M,4s,6s,SR
Kepler Wessels,c & b Ranatunga,40,94,130,0,0,42.55
Adrian Kuiper,b Anurasiri,18,44,53,3,0,40.91
Peter Kirsten,c Hathurusingha b Kalpage,47,81,74,5,1,58.02
Jonty Rhodes,c Jayasuriya b Wickramasinghe,28,21,27,2,0,133.33
Mark Rushmere,c Jayasuriya b Ranatunga,4,9,7,0,0,44.44
Hansie Cronje,st Tillakaratne b Anurasiri,3,6,10,0,0,50.00
Richard Snell,b Anurasiri,9,5,10,2,0,180.00
Brian McMillan,not out,18,22,35,0,0,81.82
David Richardson,run out,0,0,1,0,0,0.00
Omar Henry,c Kalpage b Ramanayake,11,13,17,1,0,84.62
Allan Donald,run out,3,6,9,0,0,50.00
