BATSMEN,,R,B,M,4s,6s,SR
Ganesh Mylvaganam,b Mushtaq Ahmed,13,50,66,1,0,26.00
Saleem Raza,c Javed Miandad b Aaqib Javed,22,20,27,2,1,110.00
Azhar Saeed,run out,1,13,24,0,0,7.69
Mazhar Hussain,c Waqar Younis b Mushtaq Ahmed,7,21,28,0,0,33.33
Mohammad Aslam,b Mushtaq Ahmed,5,9,8,1,0,55.56
Mohammad Ishaq,b Wasim Akram,12,20,31,1,0,60.00
Arshad Laeeq,c Ijaz Ahmed b Aaqib Javed,9,19,15,2,0,47.37
Johanne Samarasekera,b Waqar Younis,10,22,30,0,0,45.45
Shaukat Dukanwala,not out,21,19,26,1,1,110.53
Sultan Zarawani,b Wasim Akram,1,3,2,0,0,33.33
Imtiaz Abbasi,not out,0,4,2,0,0,0.00
