BATSMEN,,R,B,M,4s,6s,SR
Javed Ahmadi,c Clarke b Hazlewood,13,24,34,1,0,54.17
Usman Ghani,c Faulkner b Johnson,12,19,28,0,0,63.16
Nawroz Mangal,c Finch b Johnson,33,35,54,2,2,94.29
Asghar Afghan,c Smith b Johnson,4,10,12,0,0,40.00
Samiullah Shinwari,c Johnson b Clarke,17,31,33,2,0,54.84
Mohammad Nabi,c Clarke b Maxwell,2,10,20,0,0,20.00
Najibullah Zadran,b Starc,24,31,42,1,1,77.42
Afsar Zazai,c Haddin b Hazlewood,10,40,47,0,0,25.00
Dawlat Zadran,b Starc,0,4,3,0,0,0.00
Hamid Hassan,c Warner b Johnson,7,18,27,0,0,38.89
Shapoor Zadran,not out,0,4,5,0,0,0.00
