BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Dale Steyn,7,0,24,1,3.43,32,0,2,2,0
Kyle Abbott,8,0,37,2,4.63,31,6,0,1,0
Morne Morkel,5.1,0,23,2,4.45,20,3,0,0,0
Imran Tahir,10,2,45,5,4.50,37,2,3,0,0
Faf du Plessis,3,0,17,0,5.67,7,1,0,0,0
