BATSMEN,,R,B,M,4s,6s,SR
Chris Gayle,c Bairstow b Plunkett,36,41,57,5,1,87.80
Evin Lewis,b Woakes,2,8,14,0,0,25.00
Shai Hope,lbw b Wood,11,30,47,1,0,36.67
Nicholas Pooran,c Buttler b Archer,63,78,116,3,1,80.77
Shimron Hetmyer,c & b Root,39,48,70,4,0,81.25
Jason Holder,c & b Root,9,10,9,0,1,90.00
Andre Russell,c Woakes b Wood,21,16,19,1,2,131.25
Carlos Brathwaite,c Buttler b Archer,14,22,39,0,1,63.64
Sheldon Cottrell,lbw b Archer,0,1,3,0,0,0.00
Oshane Thomas,not out,0,11,23,0,0,0.00
Shannon Gabriel,b Wood,0,3,7,0,0,0.00
