BATSMEN,,R,B,M,4s,6s,SR
Amjad Ali,c Behardien b Duminy,21,36,51,3,0,58.33
Andri Berenger,c Rossouw b Morkel,5,21,30,1,0,23.81
Khurram Khan,c de Kock b Morkel,12,17,24,2,0,70.59
Shaiman Anwar,c Rossouw b Imran Tahir,39,64,68,5,0,60.94
Swapnil Patil,not out,57,100,138,5,0,57.00
Saqlain Haider,c Rossouw b de Villiers,7,12,8,1,0,58.33
Amjad Javed,c sub (WD Parnell) b de Villiers,5,4,6,1,0,125.00
Mohammad Naveed,c de Villiers b Philander,17,15,23,2,1,113.33
Mohammad Tauqir,b Steyn,3,16,26,0,0,18.75
Kamran Shazad,c Steyn b Philander,0,3,6,0,0,0.00
Fahad Alhashmi,absent hurt,-,-,-,-,-,0.00
