BATSMEN,,R,B,M,4s,6s,SR
Tamim Iqbal,c Dhoni b Yadav,25,25,28,4,0,100.00
Imrul Kayes,run out (Jadeja/Yadav),5,14,31,0,0,35.71
Soumya Sarkar,c Dhoni b Mohammed Shami,29,43,59,3,1,67.44
Mahmudullah,c Dhawan b Mohammed Shami,21,31,44,2,0,67.74
Shakib Al Hasan,c Mohammed Shami b Jadeja,10,34,36,0,0,29.41
Mushfiqur Rahim,c Dhoni b Yadav,27,43,50,2,0,62.79
Sabbir Rahman,c Mohammed Shami b Yadav,30,40,68,2,0,75.00
Nasir Hossain,c Ashwin b Jadeja,35,34,29,6,0,102.94
Mashrafe Mortaza,c Dhoni b Sharma,1,3,4,0,0,33.33
Rubel Hossain,c Ashwin b Yadav,0,3,2,0,0,0.00
Taskin Ahmed,not out,0,0,1,0,0,0.00
