BATSMEN,,R,B,M,4s,6s,SR
Clay Smith,lbw b Vaas,0,5,3,0,0,0.00
Oliver Pitcher,b Maharoof,6,28,53,1,0,21.43
Saleem Mukuddem,c Sangakkara b Malinga,0,4,10,0,0,0.00
David Hemp,c Jayawardene b Malinga,14,18,18,1,0,77.78
Irving Romaine,lbw b Malinga,0,1,1,0,0,0.00
Janeiro Tucker,b Muralitharan,4,21,32,1,0,19.05
Dean Minors,c Sangakkara b Maharoof,4,3,2,1,0,133.33
Lionel Cann,c Sangakkara b Maharoof,28,32,49,3,1,87.50
Delyone Borden,c sub (KMDN Kulasekara) b Maharoof,6,25,28,1,0,24.00
Kevin Hurdle,not out,6,3,14,0,1,200.00
Dwayne Leverock,lbw b Muralitharan,1,8,5,0,0,12.50
