BATSMEN,,R,B,M,4s,6s,SR
Graeme Fowler,b Binny,33,59,93,3,0,55.93
Chris Tavare,c Kirmani b Binny,32,51,70,4,0,62.75
David Gower,c Kirmani b Amarnath,17,30,51,1,0,56.67
Allan Lamb,run out (Yashpal Sharma),29,58,64,1,0,50.00
Mike Gatting,b Amarnath,18,46,45,1,0,39.13
Sir Ian Botham,b Azad,6,26,28,0,0,23.08
Ian Gould,run out (Kirmani),13,36,43,0,0,36.11
Vic Marks,b Kapil Dev,8,18,31,0,0,44.44
Graham Dilley,not out,20,26,34,2,0,76.92
Paul Allott,c Patil b Kapil Dev,8,14,22,0,0,57.14
Bob Willis,b Kapil Dev,0,2,3,0,0,0.00
