BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Alex Cusack,10,1,43,1,4.30,33,3,0,3,0
John Mooney,9,1,40,0,4.44,38,2,0,3,0
Stuart Thompson,10,0,59,1,5.90,29,4,0,3,0
George Dockrell,6,0,43,0,7.17,17,6,1,0,0
Kevin O'Brien,10,0,49,0,4.90,35,4,1,1,0
Paul Stirling,1.1,0,5,0,4.29,5,1,0,0,0
