BATSMEN,,R,B,M,4s,6s,SR
Navjot Sidhu,b Mushtaq Ahmed,93,115,160,11,0,80.87
Sachin Tendulkar,b Ata-ur-Rehman,31,59,103,3,0,52.54
Sanjay Manjrekar,c Javed Miandad b Aamer Sohail,20,43,42,0,0,46.51
Mohammad Azharuddin,c Rashid Latif b Waqar Younis,27,22,27,1,1,122.73
Vinod Kambli,b Mushtaq Ahmed,24,26,41,1,0,92.31
Ajay Jadeja,c Aamer Sohail b Waqar Younis,45,25,41,4,2,180.00
Nayan Mongia,run out,3,3,6,0,0,100.00
Anil Kumble,c Javed Miandad b Aaqib Javed,10,6,9,2,0,166.67
Javagal Srinath,not out,12,4,8,2,0,300.00
Venkatesh Prasad,not out,0,0,2,0,0,0.00
