BATSMEN,,R,B,M,4s,6s,SR
Aamer Sohail,b Prasad,55,46,67,9,1,119.57
Saeed Anwar,c Kumble b Srinath,48,32,45,5,2,150.00
Ijaz Ahmed,c Srinath b Prasad,12,23,24,1,0,52.17
Inzamam-ul-Haq,c Mongia b Prasad,12,20,26,1,0,60.00
Saleem Malik,lbw b Kumble,38,50,58,4,0,76.00
Javed Miandad,run out,38,64,88,2,0,59.38
Rashid Latif,st Mongia b Raju,26,25,28,1,2,104.00
Mushtaq Ahmed,c & b Kumble,0,2,3,0,0,0.00
Waqar Younis,not out,4,21,24,0,0,19.05
Ata-ur-Rehman,lbw b Kumble,0,1,1,0,0,0.00
Aaqib Javed,not out,6,10,13,0,0,60.00
