BATSMEN,,R,B,M,4s,6s,SR
William Porterfield,c Raqibul Hasan b Shakib Al Hasan,20,30,31,2,0,66.67
Paul Stirling,st Mushfiqur Rahim b Abdur Razzak,9,10,18,1,0,90.00
Ed Joyce,c & b Mohammad Ashraful,16,35,45,0,0,45.71
Niall O'Brien,c Tamim Iqbal b Shakib Al Hasan,38,52,64,3,0,73.08
Andrew White,b Mohammad Ashraful,10,27,20,1,0,37.04
Kevin O'Brien,c sub (Sohrawordi Shuvo) b Shafiul Islam,37,40,46,3,1,92.50
Andre Botha,b Shafiul Islam,22,36,55,2,0,61.11
John Mooney,b Naeem Islam,0,8,16,0,0,0.00
Trent Johnston,lbw b Shafiul Islam,6,6,10,1,0,100.00
George Dockrell,not out,4,12,21,0,0,33.33
Boyd Rankin,c Junaid Siddique b Shafiul Islam,3,13,12,0,0,23.08
