BATSMEN,,R,B,M,4s,6s,SR
Tamim Iqbal,c Porterfield b Botha,44,43,52,7,0,102.33
Imrul Kayes,st O'Brien b Mooney,12,12,29,2,0,100.00
Junaid Siddique,run out (Joyce),3,8,9,0,0,37.50
Mushfiqur Rahim,c White b Dockrell,36,66,95,2,0,54.55
Shakib Al Hasan,c & b Botha,16,20,17,3,0,80.00
Raqibul Hasan,run out (White),38,69,87,1,0,55.07
Mohammad Ashraful,c White b Dockrell,1,6,9,0,0,16.67
Naeem Islam,c Dockrell b Johnston,29,38,64,3,0,76.32
Shafiul Islam,lbw b Botha,2,17,14,0,0,11.76
Abdur Razzak,b Johnston,11,16,28,0,0,68.75
Rubel Hossain,not out,2,2,7,0,0,100.00
