BATSMEN,,R,B,M,4s,6s,SR
Sunil Gavaskar,c Dujon b Roberts,2,12,14,0,0,16.67
Kris Srikkanth,lbw b Marshall,38,57,82,7,1,66.67
Mohinder Amarnath,b Holding,26,80,108,3,0,32.50
Yashpal Sharma,c sub (AL Logie) b Gomes,11,32,45,1,0,34.38
Sandeep Patil,c Gomes b Garner,27,29,48,0,1,93.10
Kapil Dev,c Holding b Gomes,15,8,10,3,0,187.50
Kirti Azad,c Garner b Roberts,0,3,3,0,0,0.00
Roger Binny,c Garner b Roberts,2,8,9,0,0,25.00
Madan Lal,b Marshall,17,27,31,0,1,62.96
Syed Kirmani,b Holding,14,43,55,0,0,32.56
Balwinder Sandhu,not out,11,30,42,1,0,36.67
