BATSMEN,,R,B,M,4s,6s,SR
Sunil Gavaskar,c Reid b Taylor,37,32,-,6,1,115.63
Kris Srikkanth,lbw b Waugh,70,83,-,7,0,84.34
Navjot Sidhu,b McDermott,73,79,-,4,5,92.41
Dilip Vengsarkar,c Jones b McDermott,29,45,-,2,0,64.44
Mohammad Azharuddin,b McDermott,10,14,-,1,0,71.43
Kapil Dev,c Boon b O'Donnell,6,10,-,0,0,60.00
Ravi Shastri,c & b McDermott,12,11,-,1,0,109.09
Kiran More,not out,12,14,-,2,0,85.71
Roger Binny,run out,0,3,-,0,0,0.00
Manoj Prabhakar,run out,5,7,-,0,0,71.43
Maninder Singh,b Waugh,4,5,-,0,0,80.00
