BATSMEN,,R,B,M,4s,6s,SR
Jeremy Bray,c sub (LMP Simmons) b Taylor,41,72,105,7,0,56.94
William Porterfield,c Gayle b Powell,0,2,7,0,0,0.00
Eoin Morgan,c Ramdin b Powell,18,34,66,0,1,52.94
Niall O'Brien,c Ramdin b Bradshaw,11,19,21,2,0,57.89
Andre Botha,c Ramdin b Gayle,28,56,76,1,1,50.00
Kevin O'Brien,c Sarwan b Gayle,17,46,51,1,0,36.96
Andrew White,b Bravo,18,29,33,0,0,62.07
Kyle McCallan,not out,20,24,29,2,0,83.33
John Mooney,c Ramdin b Bravo,0,1,1,0,0,0.00
Dave Langford-Smith,not out,8,7,8,1,0,114.29
